Тип контракта,Приложение 9 экспорт,Unnamed: 2,Unnamed: 3,Unnamed: 4
Название файла,Реквизиты,Расположение,"Записи в документе клиента, текст",Данные переносимые в Colvir
355С,- № контракта,"На 1-й странице, 1-я строка ",,IC-45-2022
,- дата заключения (дата заключения контракта),,,01.09.22
,"- дата окончания (срок действия контракта, договора)","На 6-й сранце, пункт 10.1;

Также на 6-й странице, пункт 10.4,
учитывая, что контракт пролонгируется на след. кален. год, срок окончания действия контракта оставляют пустым",,пусто
,- контрагент (наименование иностранного контрагента),"На 1-й странице, 2-й абзац;


","1) 








2)",ООО КОРЕКСФАРМ
,- страна (страна контрагента (инопартнера));,"1-й абзац,

","1) 







2)",RU.Российская Федерация
,,,,
,- сумма контракта;,"На 3-й странице, пункт 2.1;
Сумма контракта неизвестна, 
складывается из сумм приложения, 
клиент вложил дополнительно приложение 01/2024 от 11.04.2024г.",,"46746,00
(Сумма из приложения)"
,- валюта контракта;,"На 3-й странице, пункт 2.2
",,EUR
,- валюта платежа.,"На 3-й странице, пункт 2.3
",,"EUR, USD"
