Тип контракта,УН экспорт (товар),Unnamed: 2,Unnamed: 3,Unnamed: 4
Название файла,Реквизиты,Расположение,"Записи в документе клиента, текст",Данные
4392,- № контракта,"На 1-й странице, 1-я строка ",,9-2702-2023
,- дата заключения (дата заключения контракта),,,27.02.23
,"- дата окончания (срок действия контракта, договора)","На 3-й сранце, пункт 6.1",,31.12.24
,- контрагент (наименование иностранного контрагента),"На 1-йстранице, 2 абзац;

","1) 




2)",ООО Алтай-Кабель
,,,,
,,,,
,- сумма контракта;,"На 1-й странице, пункт 2.1",,"182 117 993,91"
,- валюта контракта;,"На 1-й странице, пункт 2.2
также в пункте 2.4",,RUB
,- валюта платежа.,"На 1-й странице, пункт 2.3
",,RUB
