Тип контракта,УН импорт (товар),Unnamed: 2,Unnamed: 3,Unnamed: 4
Название файла,Реквизиты,Расположение,"Записи в документе клиента, текст",Данные
6708,- № контракта,"На 1-й странице, 1-я строка ",,HDEL-Tech/4
,- дата заключения (дата заключения контракта),,,12.04.24
,"- дата окончания (срок действия контракта, договора)","На 2-й сранце, пункт 4.6",,31.12.24
,- контрагент (наименование иностранного контрагента),"1-й абзац;
Т
","1)









2)","HYUNDAI TECH EL CO., LTD"
,,,,
,,,,
,- сумма контракта;,"На 1-й странице, пункт 2.1

",,"176 300,00"
,- валюта контракта;,"На 1-й странице, пункт 2.1
",,USD
,- валюта платежа.,"На 1-й странице, пункт 3.1
",,USD
