CТип контракта,УН импорт (без пересечения гр),Unnamed: 2,Unnamed: 3,Unnamed: 4
Название файла,Реквизиты,Расположение,"Записи в документе клиента, текст",Данные 
8A16,- № контракта,"На 1-й странице, 1-я строка ",Договор №24022311 от 12.04.2024г.,24022311
,- дата заключения (дата заключения контракта),,,2024-04-12 00:00:00
,"- дата окончания (срок действия контракта, договора)","На 5-й сранце, пункт 11.4",,2026-06-30 00:00:00
,- контрагент (наименование иностранного контрагента),"1-й абзац
","1) 




",ОАО БМЗ – управляющая компания холдинга БМК
,- страна (страна контрагента (инопартнера));,"1-й абзац,

","1) 



2)",BY.Беларусь
,- сумма контракта;,"На 1-й странице, пункт 2.4",,100000000
,- валюта контракта;,"На 1-й странице, пункт 2.2
также в пункте 2.4",,RUB
,- валюта платежа.,"На 4-й странице, пункт 7.1
(абзац 2)",,RUB
