Тип контракта,УН экспорт (товар),Unnamed: 2,Unnamed: 3,Unnamed: 4
Название файла,Реквизиты,Расположение,"Записи в документе клиента, текст",Данные 
C781,- № контракта,"На 1-й странице, 1-я строка ",,Д/2024/28
,- дата заключения (дата заключения контракта),,,17.04.24
,"- дата окончания (срок действия контракта, договора)","На 5-й сранце, пункт 11.5;

В контракте не уставнолена конкретный срок его действия, 
оставляем пустым",,пусто
,- контрагент (наименование иностранного контрагента),"На 1-й странице, 1-й абзац, 5-я строка (наименование контрагента);

",,UAB Mega
,,,,
,,,,
,- сумма контракта;,"На 1-й странице, пункт 2.2

",,"2 000 000,00"
,- валюта контракта;,"На 1-й странице, пункт 2.2

",,EUR
,- валюта платежа.,"На 4-й странице, пункт 6.4

",,EUR
